accounts-barclaysglobal,ticket,ART ACCOUNTS FTS,accounts.barclaysglobal.com,SUPPORT-accounts-barclaysglobal,BGI VPO,SOFTWARE,SOFTWARE,ACCOUNTS.BARCLAYSGLOBAL.COM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gladis,ticket,SUPPORT-GLADIS,GLADIS,SUPPORT-gladis,BGI VPO,SOFTWARE,SOFTWARE,GLADIS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
glm,alarmpoint_only,SUPPORT-GLM2,,SUPPORT-glm2,BGI VPO,SOFTWARE,SOFTWARE,GLM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
glm2,alarmpoint_only,SUPPORT-GLM2,glm2,SUPPORT-glm2,BGI Equilend,SOFTWARE,SOFTWARE,GLM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gls_gate,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-gls_gate,BGI VPO,SOFTWARE,SOFTWARE,MQSERIES,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gmd,ticket,SUPPORT-GLOBAL MARKET DATA,Global Market Data,SUPPORT-gmd,BGI VPO,SOFTWARE,SOFTWARE,SUMS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gmsg,ticket,SUPPORT-MQSERIES,gmsg,SUP-mqseries,BGI VPO,SOFTWARE,SOFTWARE,MQSERIES,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gos,ticket,SUPPORT-GOS AUTOGEN,,SUPPORT-gos,BGI VPO,SOFTWARE,SOFTWARE,GOS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gps,ticket,SUPPORT-GPS (GLOBAL PERFORMANCE SYSTEM),gps,SUPPORT-gps,BGI VPO,SOFTWARE,SOFTWARE,GPS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gss,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,unknown,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
gss_cfmail,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-gss_cfmail,BGI VPO,SOFTWARE,SOFTWARE,GSS_CFMAIL,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
gsurveyor,ticket,SUPPORT-GSURVEYOR,,SUPPORT-gsurveyor,BGI VPO,SOFTWARE,SOFTWARE,MQSERIES,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
ha,ticket,ENTERPRISE SYSTEMS MANAGEMENT,Messages related to High Availability,SUPPORT-ha,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
hardware,ticket,ENTERPRISE SYSTEMS MANAGEMENT,Messages related to Hardware.,SUPPORT-hardware,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
helpme,ticket,SUPPORT-HELPME,HelpMe,SUPPORT-helpme,BGI VPO,SOFTWARE,SOFTWARE,HELPME,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
ibt_gateway,ticket,SUPPORT-IBT GATEWAY,ibt_gateway,SUPPORT-ibt_gateway,BGI VPO,SOFTWARE,SOFTWARE,IBT GATEWAY,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
icore,ticket,SUPPORT-INDEX CORE IT,iCore Messages,SUPPORT-icore,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
idl,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-idl,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
imm,ticket,SUPPORT-IMM (INTERNET MEETING MANAGER),Internet Meeting Manager,SUPPORT-imm,BGI VPO,SOFTWARE,SOFTWARE,IMM (INTERNET MEETING MANAGER),FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
ims,ticket,SUPPORT-IMS,,SUPPORT-ims,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
indices,ticket,SUPPORT-INDEX/AA/ISHARE/TRANS/PERF,,SUPPORT-indices,BGI VPO,SOFTWARE,SOFTWARE,TBD APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
internet_infrastructure,ticket,ENTERPRISE SYSTEMS MANAGEMENT,internet_infrastructure,SUPPORT-internet_infrastructure,BGI VPO,NETWORK,INTERNET ACCESS,OTHER,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
intlpm,ticket,ENTERPRISE SYSTEMS MANAGEMENT,International Portfolio Management,SUP-intlpm,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
intraspect,ticket,SUPPORT-INTRASPECT,All Intraspect Messages,SUP-intraspect,BGI VPO,SOFTWARE,SOFTWARE,INTRASPECT,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
iplanet,ticket,SUPPORT-IPLANET,,SUP-iplanet,BGI VPO,SOFTWARE,SOFTWARE,IPLANET,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
ishares,ticket,SUPPORT-ISHARES.COM,iShares.com messages,SUP-ishares.com,BGI VPO,SOFTWARE,SOFTWARE,ISHARES.COM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
ishares_dynamo,ticket,SUPPORT-ISHARES.COM,,SUP-ishares.com,BGI VPO,SOFTWARE,SOFTWARE,ISHARES.COM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
ishares_inktomi,ticket,SUPPORT-ISHARES.COM,,SUP-ishares.com,BGI VPO,SOFTWARE,SOFTWARE,ISHARES.COM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
ishares_fi_bus,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUP-ishares-fi,BGI VPO,SOFTWARE,SOFTWARE,ISHARES.COM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
ishares_fi_dev,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUP-ishares-fi,BGI VPO,SOFTWARE,SOFTWARE,ISHARES.COM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
issue_price,ticket,SUPPORT-CLIENT APPLICATIONS,,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
iunits,ticket,SUPPORT-IUNITS.COM,iunits.com,SUP-iunits.com,BGI VPO,SOFTWARE,SOFTWARE,IUNITS.COM,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
iweb,ticket,SUPPORT-IWEB,I-Web,SUP-iweb,BGI VPO,SOFTWARE,SOFTWARE,IWEB,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
job,ticket,ENTERPRISE SYSTEMS MANAGEMENT,Messages related to job streaming,SUPPORT-job,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
jrun,ticket,SUPPORT-JRUN,JRun message group,SUP-jrun,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
k2desk,ticket,SUPPORT-K2DESK,K2Desk,SUPPORT-k2desk,BGI VPO,SOFTWARE,SOFTWARE,K2DESK,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
marshall,ticket,SUPPORT-MARSHALL ISLANDS,marshall,SUPPORT-marshall,BGI VPO,SOFTWARE,SOFTWARE,MARSHALL ISLANDS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
misc,ticket,ENTERPRISE SYSTEMS MANAGEMENT,Messages which cannot be matched with any Message Group.,SUPPORT-misc,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
mqadmin,ticket,SUPPORT-MQSERIES,,SUP-mqseries,BGI VPO,SOFTWARE,SOFTWARE,MQSERIES,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
mss_admin,ticket,DBA MSSQL SERVER AUTOGEN-FTS,Microsoft SQL Server Administration Events,SUPPORT-mss_admin,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
mss_conf,ticket,DBA MSSQL SERVER AUTOGEN-FTS,Microsoft SQL Server Configuration Events,SUPPORT-mss_conf,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
mss_fault,ticket,DBA MSSQL SERVER AUTOGEN-FTS,Microsoft SQL Server Fault Events,SUPPORT-mss_fault,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
mss_perf,ticket,DBA MSSQL SERVER AUTOGEN-FTS,Microsoft SQL Server Performance Events,SUPPORT-mss_perf,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
mssql-amr,ticket,DBA MSSQL SERVER AUTOGEN-FTS,,DBA-FTS,BGI VPO,DATABASE,DATABASE ADMINISTRATION,MICROSOFT,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
mssql,ticket,DBA MSSQL SERVER AUTOGEN-FTS,,DBA-FTS,BGI VPO,DATABASE,DATABASE ADMINISTRATION,MICROSOFT,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
mssql-test,ticket,DBA MSSQL SERVER AUTOGEN-FTS,mssql test group,SUPPORT-mssql-test,BGI VPO,DATABASE,DATABASE ADMINISTRATION,MSSQL-TEST,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
multi_curr,ticket,SUPPORT-CLIENT APPLICATIONS,,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
nas,ticket,STORAGE-AUTOGEN,network attached storage,SUPPORT-STORAGE-FTS,BGI VPO,STORAGE,CAPACITY EXPANSION,NAS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
nas_email,ticket,STORAGE-AUTOGEN,nas_email,SUPPORT-STORAGE-EMAIL,BGI VPO,STORAGE,CAPACITY EXPANSION,NAS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
netapps,ticket,STORAGE-AUTOGEN,,SUPPORT-STORAGE-FTS,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
netbackup,ticket,STORAGE-AUTOGEN,,SUPPORT-STORAGE-FTS,BGI VPO,STORAGE,DATA PROTECTION,BACKUPS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
netbackup_email,ticket,STORAGE-AUTOGEN,,SUPPORT-STORAGE-EMAIL,BGI VPO,STORAGE,DATA PROTECTION,BACKUPS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
network,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,Messages related to network/ connectivity problems.,network-fts,BGI NETWORK,NETWORK,LAN,LAN,REPAIR/REPLACE,DEFAULT_ASSIGNMENT,GLOBAL 
nodestatus,ticket,ENTERPRISE SYSTEMS MANAGEMENT,node status messages for reboot,down,agent problems.,SUPPORT-nodestatus,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
notification,ticket,ENTERPRISE SYSTEMS MANAGEMENT,end to end test,SUPPORT-notification,BGI VPO,MESSAGING,END-TO-END,VPO-SERVICECENTER-ALARMPOINT,MESSAGE CHECKER,DEFAULT_ASSIGNMENT,GLOBAL 
ofa,ticket,SUPPORT-CLIENT APPLICATIONS,Oracle Financials,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
opc,ticket,ENTERPRISE SYSTEMS MANAGEMENT,Messages generated by VPO.,SUPPORT-opc,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
opendeploy,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUP-opendeploy,BGI VPO,SOFTWARE,SOFTWARE,OPEN DEPLOY,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
orbis,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,Orbis Message group,SUP-orbis_b,BGI ORBIS,SOFTWARE,SOFTWARE,ORBIS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_escalate,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,Orbis AP Escalation Message group,SUP-orbis_escalate,BGI ORBIS ESCALATE,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_trd_japan_escalate,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,Orbis AP Escalation Message group,SUP-orbis_trd_japan_escalate,BGI ORBIS ESCALATE,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_aus_escalate,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,Orbis AP Escalation Message group,SUP-orbis_aus_escalate,BGI ORBIS ESCALATE,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_can_escalate,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,Orbis AP Escalation Message group,SUP-orbis_can_escalate,BGI ORBIS ESCALATE,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_europe_escalate,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,Orbis AP Escalation Message group,SUP-orbis_europe_escalate,BGI ORBIS ESCALATE,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_aus,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,orbis_aus,SUPPORT-orbis-aus,BGI ORBIS,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_aus_risk,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,orbus_aus_risk,SUPPORT-ORBIS-RISK,BGI ORBIS,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_aus_trd,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,orbis_aus_trd,SUPPORT-orbis-aus-trd,BGI ORBIS,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_can,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,orbis_can,SUPPORT-orbis-can,BGI ORBIS,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_can_risk,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,orbis_can_risk,SUPPORT-ORBIS-RISK,BGI ORBIS,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_can_trd,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,orbis_can_trd,SUPPORT-orbis-can-trd,BGI ORBIS,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_crossing,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,,SUP-orbis-cross,BGI ORBIS,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_cst,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,orbis_cst,SUP-orbis-cst,BGI ORBIS,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_equity,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,orbis_equity,SUP-orbis_equity,BGI ORBIS,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_rm,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,Orbis Risk Management,SUP-orbis-rm,BGI ORBIS,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_trd,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,,SUP-orbis-trd_b,BGI ORBIS,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_trd_japan,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,,SUP-orbis japan_b,BGI ORBIS,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_uk,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,,SUP-orbis-uk,BGI ORBIS,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
orbis_usidxpm,alarmpoint_only,ENTERPRISE SYSTEMS MANAGEMENT,Orbis US Index PM Group,SUP-orbis-usidxpm_b,BGI ORBIS,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
ordersonline,ticket,SUPPORT-ORDERS ONLINE,,SUPPORT-ordersonline,BGI VPO,SOFTWARE,SOFTWARE,ORDERS ONLINE,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
os,ticket,ENTERPRISE SYSTEMS MANAGEMENT,UNIX operating system related messages,SUPPORT-os,BGI VPO,SERVERS,UNIX,OPERATING SYSTEM,REPAIR/REPLACE,DEFAULT_ASSIGNMENT,GLOBAL 
ovis,ticket,ENTERPRISE SYSTEMS MANAGEMENT,OVIS Messages,ESM,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
pars,ticket,SUPPORT-PARS,,SUPPORT-pars,BGI VPO,SOFTWARE,SOFTWARE,PARS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
pb_rpt,ticket,SUPPORT-CLIENT APPLICATIONS,,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
performance,ticket,ENTERPRISE SYSTEMS MANAGEMENT,Messages related to Hardware/ Software malfunctions.,SUPPORT-performance,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
pims,ticket,HRIT/PIMS,pims messages,SUPPORT-pims,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
prep,ticket,SUPPORT-CLIENT APPLICATIONS,,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
proa,ticket,SUPPORT-CLIENT APPLICATIONS,,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
pst,ticket,SUPPORT-CLIENT APPLICATIONS,,SUPPORT-CLIENT APPLICATIONS,BGI VPO,SOFTWARE,SOFTWARE,CLIENT APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
purchasing_web,ticket,GSS OPS,purchasing_web,SUPPORT-GSS,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
rk,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-rk,BGI VPO,SOFTWARE,SOFTWARE,TBD APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
rkp,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-rkp,BGI VPO,SOFTWARE,SOFTWARE,TBD APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
san,ticket,STORAGE-AUTOGEN,storage area network messages,SUPPORT-STORAGE-FTS,BGI VPO,STORAGE,CAPACITY EXPANSION,SAN,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
san_email,ticket,STORAGE-AUTOGEN,san_email,SUPPORT-STORAGE-EMAIL,BGI VPO,STORAGE,CAPACITY EXPANSION,SAN,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
security,ticket,UNIX-SECURITY-MONITORING,Messages related to security violations or attemps to intrude a system,SUPPORT-security,BGI VPO,SECURITY,SERVER SECURITY,UNIX,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
servicecenter,ticket,GSS OPS,Messages generated by Peregrine ServiceCenter.,SUPPORT-GSS,BGI VPO,SOFTWARE,SOFTWARE,SERVICECENTER,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
shareit,ticket,GSS OPS,ShareIT Messages,SUPPORT-GSS,BGI VPO,SOFTWARE,SOFTWARE,SHAREIT,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
shareit-test,ticket,GSS OPS,ShareIT Test Messages,SUPPORT-GSS_TEST,BGI VPO,SOFTWARE,SOFTWARE,SHAREIT-TEST,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
solaris,ticket,SUPPORT-GLOBAL SECURITY ADMIN,,FTS-UNIX,BGI VPO,SERVERS,UNIX,OPERATING SYSTEM,REPAIR/REPLACE,DEFAULT_ASSIGNMENT,GLOBAL 
snmp,ticket,ENTERPRISE SYSTEMS MANAGEMENT,Messages generated by SNMP traps.,SUPPORT-snmp,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
spi_svcdisc,ticket,ENTERPRISE SYSTEMS MANAGEMENT,Message group for receiving SPI Service Discovery Messages,SUPPORT-spi_svcdisc,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
ssp,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-ssp,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
statement,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-statement,BGI VPO,DEFAULT_CAT,DEFAULT_SUBCAT,DEFAULT_PRODUCT,DEFAULT_PROBLEM,DEFAULT_ASSIGNMENT,GLOBAL 
storage_apac,ticket,STORAGE-AUTOGEN,storage_apac,SUPPORT-STORAGE-APAC,BGI VPO,STORAGE,CAPACITY EXPANSION,SAN,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
storage_ldn,ticket,STORAGE-AUTOGEN,storage_ldn,SUPPORT-STORAGE-LDN,BGI VPO,STORAGE,CAPACITY EXPANSION,SAN,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
storage_rdc,ticket,STORAGE-AUTOGEN,storage_rdc,SUPPORT-STORAGE-RDC,BGI VPO,STORAGE,CAPACITY EXPANSION,SAN,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
storage_sfo,ticket,STORAGE-AUTOGEN,storage_sfo,SUPPORT-STORAGE-SFO,BGI VPO,STORAGE,CAPACITY EXPANSION,SAN,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
sums,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-sums,BGI VPO,SOFTWARE,SOFTWARE,SUMS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
sybase,ticket,DBA SYBASE AUTOGEN-FTS,Production and BCP Sybase events,DBA SYBASE SERVER-FTS,BGI VPO,DATABASE,DATABASE ADMINISTRATION,SYBASE,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
sybase-test,ticket,DBA SYBASE AUTOGEN-FTS,Sybase QA,Test and Dev events,DBA-TEST,BGI VPO,DATABASE,DATABASE ADMINISTRATION,SYBASE-TEST,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
tar,ticket,ENTERPRISE SYSTEMS MANAGEMENT,,SUPPORT-tar,BGI VPO,SOFTWARE,SOFTWARE,TAR,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
teledirect,ticket,ENTERPRISE SYSTEMS MANAGEMENT,teledirect - HelpDesk outsourcing firm,SUPPORT-teledirect,BGI VPO,SOFTWARE,SOFTWARE,TELEDIRECT,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
torapps,ticket,ENTERPRISE SYSTEMS MANAGEMENT,torapps,SUPPORT-torapps,BGI VPO,SOFTWARE,SOFTWARE,CAN APPLICATIONS,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
torinfra,ticket,ENTERPRISE SYSTEMS MANAGEMENT,torinfra,SUPPORT-torinfra,BGI VPO,SOFTWARE,SOFTWARE,CAN INFRASTRUCTURE,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
tradefloor,ticket,ENTERPRISE SYSTEMS MANAGEMENT,tradefloor,SUPPORT-tradefloor,BGI VPO,SERVERS,TRADE FLOOR,APPLICATION RELATED,FAULT,DEFAULT_ASSIGNMENT,GLOBAL 
